Timestamp,CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Memory usage [%],Disk read throughput [KB/s],Disk write throughput [KB/s],Disk size [GB],Network received throughput [KB/s],Network transmitted throughput [KB/s],cores
04.01.2016 00:00:00,2,0,115,"2,51",4194304,122474,"2,92",0,13,54,1,1,2
04.01.2016 00:05:00,2,0,106,"2,32",4194304,119538,"2,85",0,13,54,1,1,2
04.01.2016 00:10:00,2,0,119,"2,61",4194304,329253,"7,85",0,70,54,2,35,2
04.01.2016 00:15:00,2,0,121,"2,63",4194304,284793,"6,79",0,13,54,11,35,2
04.01.2016 00:20:00,2,0,112,"2,46",4194304,348966,"8,32",0,10,54,1,1,2
04.01.2016 00:25:00,2,0,117,"2,56",4194304,326736,"7,79",0,14,54,11,37,2
04.01.2016 00:30:00,2,0,107,"2,33",4194304,270533,"6,45",0,13,54,1,1,2
04.01.2016 00:35:00,2,0,113,"2,47",4194304,340577,"8,12",0,13,54,11,36,2
04.01.2016 00:40:00,2,0,110,"2,4",4194304,281857,"6,72",0,12,54,1,1,2
04.01.2016 00:45:00,2,0,117,"2,55",4194304,192519,"4,59",0,14,54,11,36,2
04.01.2016 00:50:00,2,0,121,"2,64",4194304,253755,"6,05",0,12,54,1,1,2
04.01.2016 00:55:00,2,0,114,"2,49",4194304,449629,"10,72",0,14,54,1,1,2
04.01.2016 01:00:00,2,0,116,"2,53",4194304,175741,"4,19",0,12,54,1,1,2
04.01.2016 01:05:00,2,0,132,"2,88",4194304,572522,"13,65",0,14,54,184,44,2
04.01.2016 01:10:00,2,0,115,"2,52",4194304,340577,"8,12",0,13,54,1,1,2
04.01.2016 01:15:00,2,0,117,"2,56",4194304,346030,"8,25",0,14,54,11,36,2
04.01.2016 01:20:00,2,0,113,"2,48",4194304,273469,"6,52",3,14,54,1,1,2
04.01.2016 01:25:00,2,0,115,"2,5",4194304,108632,"2,59",0,15,54,1,1,2
04.01.2016 01:30:00,2,0,116,"2,53",4194304,136315,"3,25",0,13,54,1,3,2
04.01.2016 01:35:00,2,0,114,"2,49",4194304,175741,"4,19",0,13,54,1,1,2
04.01.2016 01:40:00,2,0,115,"2,52",4194304,83467,"1,99",0,13,54,1,1,2
04.01.2016 01:45:00,2,0,122,"2,67",4194304,259627,"6,19",0,14,54,11,36,2
04.01.2016 01:50:00,2,0,121,"2,64",4194304,273469,"6,52",0,12,54,1,1,2
04.01.2016 01:55:00,2,0,114,"2,49",4194304,502897,"11,99",0,14,54,1,1,2
04.01.2016 02:00:00,2,0,116,"2,54",4194304,206360,"4,92",0,12,54,1,1,2
04.01.2016 02:05:00,2,0,122,"2,67",4194304,315412,"7,52",0,14,54,11,36,2
04.01.2016 02:10:00,2,0,116,"2,53",4194304,293182,"6,99",0,14,54,1,1,2
04.01.2016 02:15:00,2,0,124,"2,71",4194304,270533,"6,45",0,14,54,11,35,2
04.01.2016 02:20:00,2,0,116,"2,55",4194304,217684,"5,19",0,13,54,1,1,2
04.01.2016 02:25:00,2,0,125,"2,72",4194304,307023,"7,32",0,15,54,11,35,2
04.01.2016 02:30:00,2,0,116,"2,54",4194304,242850,"5,79",0,12,54,1,1,2
04.01.2016 02:35:00,2,0,115,"2,5",4194304,117021,"2,79",0,12,54,1,1,2
04.01.2016 02:40:00,2,0,115,"2,51",4194304,147640,"3,52",0,14,54,1,1,2
04.01.2016 02:45:00,2,0,116,"2,53",4194304,52429,"1,25",0,13,54,1,1,2
04.01.2016 02:50:00,2,0,123,"2,7",4194304,167353,"3,99",0,11,54,1,1,2
04.01.2016 02:55:00,2,0,121,"2,65",4194304,555745,"13,25",0,15,54,11,36,2
04.01.2016 03:00:00,2,0,117,"2,55",4194304,351902,"8,39",0,12,54,1,1,2
04.01.2016 03:05:00,2,0,116,"2,53",4194304,133798,"3,19",0,14,54,1,1,2
04.01.2016 03:10:00,2,0,115,"2,51",4194304,111149,"2,65",0,13,54,1,1,2
04.01.2016 03:15:00,2,0,119,"2,61",4194304,161481,"3,85",0,14,54,1,1,2
04.01.2016 03:20:00,2,0,115,"2,52",4194304,97308,"2,32",0,13,54,1,1,2
04.01.2016 03:25:00,2,0,114,"2,49",4194304,117021,"2,79",0,15,54,1,1,2
04.01.2016 03:30:00,2,0,117,"2,55",4194304,58301,"1,39",0,12,54,1,1,2
04.01.2016 03:35:00,2,0,120,"2,63",4194304,242850,"5,79",0,13,54,11,36,2
04.01.2016 03:40:00,2,0,114,"2,49",4194304,298634,"7,12",0,13,54,1,1,2
04.01.2016 03:45:00,2,0,117,"2,55",4194304,136315,"3,25",0,13,54,1,1,2
04.01.2016 03:50:00,2,0,124,"2,7",4194304,172805,"4,12",0,11,54,1,1,2
04.01.2016 03:55:00,2,0,122,"2,66",4194304,432852,"10,32",0,15,54,11,35,2
04.01.2016 04:00:00,2,0,117,"2,56",4194304,273469,"6,52",0,13,54,1,1,2
04.01.2016 04:05:00,2,0,132,"2,88",4194304,259627,"6,19",221,65,54,1,1,2
04.01.2016 04:10:00,2,0,107,"2,34",4194304,236978,"5,65",0,14,54,1,1,2
04.01.2016 04:15:00,2,0,115,"2,51",4194304,223137,"5,32",0,13,54,11,36,2
04.01.2016 04:20:00,2,0,112,"2,45",4194304,245367,"5,85",0,12,54,1,1,2
04.01.2016 04:25:00,2,0,115,"2,5",4194304,181194,"4,32",0,15,54,1,1,2
04.01.2016 04:30:00,2,0,115,"2,52",4194304,133798,"3,19",0,12,54,1,1,2
04.01.2016 04:35:00,2,0,116,"2,54",4194304,108632,"2,59",0,13,54,1,1,2
04.01.2016 04:40:00,2,0,115,"2,51",4194304,108632,"2,59",0,13,54,1,1,2
04.01.2016 04:45:00,2,0,115,"2,52",4194304,142187,"3,39",0,13,54,1,1,2
04.01.2016 04:50:00,2,0,124,"2,7",4194304,293182,"6,99",0,11,54,1,1,2
04.01.2016 04:55:00,2,0,124,"2,71",4194304,628726,"14,99",0,14,54,11,35,2
04.01.2016 05:00:00,2,0,116,"2,54",4194304,402234,"9,59",0,14,54,1,1,2
04.01.2016 05:05:00,2,0,112,"2,45",4194304,184130,"4,39",0,15,54,1,1,2
04.01.2016 05:10:00,2,0,101,"2,21",4194304,100244,"2,39",0,13,54,1,1,2
04.01.2016 05:15:00,2,0,115,"2,5",4194304,122474,"2,92",0,14,54,1,1,2
04.01.2016 05:20:00,2,0,115,"2,51",4194304,91855,"2,19",0,11,54,1,1,2
04.01.2016 05:25:00,2,0,121,"2,65",4194304,175741,"4,19",0,15,54,11,35,2
04.01.2016 05:30:00,2,0,116,"2,54",4194304,273469,"6,52",0,12,54,1,1,2
04.01.2016 05:35:00,2,0,121,"2,65",4194304,287310,"6,85",0,13,54,11,35,2
04.01.2016 05:40:00,2,0,116,"2,53",4194304,309959,"7,39",0,13,54,1,1,2
04.01.2016 05:45:00,2,0,116,"2,53",4194304,153092,"3,65",0,13,54,1,1,2
04.01.2016 05:50:00,2,0,124,"2,71",4194304,220201,"5,25",0,11,54,1,1,2
04.01.2016 05:55:00,2,0,121,"2,65",4194304,499961,"11,92",0,15,54,11,35,2
04.01.2016 06:00:00,2,0,116,"2,55",4194304,309959,"7,39",0,13,54,1,1,2
04.01.2016 06:05:00,2,0,122,"2,66",4194304,276405,"6,59",0,14,54,11,36,2
04.01.2016 06:10:00,2,0,114,"2,5",4194304,214748,"5,12",0,13,54,1,1,2
04.01.2016 06:15:00,2,0,115,"2,53",4194304,144703,"3,45",0,14,54,1,1,2
04.01.2016 06:20:00,2,0,116,"2,53",4194304,88919,"2,12",0,12,54,1,1,2
04.01.2016 06:25:00,2,0,114,"2,49",4194304,91855,"2,19",0,14,54,1,1,2
04.01.2016 06:30:00,2,0,116,"2,53",4194304,119538,"2,85",0,13,54,1,1,2
04.01.2016 06:35:00,2,0,114,"2,5",4194304,181194,"4,32",0,13,54,1,1,2
04.01.2016 06:40:00,2,0,115,"2,51",4194304,184130,"4,39",0,13,54,1,1,2
04.01.2016 06:45:00,2,0,116,"2,54",4194304,133798,"3,19",0,13,54,1,1,2
04.01.2016 06:50:00,2,0,124,"2,7",4194304,226073,"5,39",0,11,54,1,1,2
04.01.2016 06:55:00,2,0,115,"2,51",4194304,466407,"11,12",0,14,54,1,1,2
04.01.2016 07:00:00,2,0,116,"2,53",4194304,186647,"4,45",0,12,54,1,1,2
04.01.2016 07:05:00,2,0,122,"2,68",4194304,323800,"7,72",0,13,54,11,36,2
04.01.2016 07:10:00,2,0,113,"2,48",4194304,360291,"8,59",0,13,54,1,1,2
04.01.2016 07:15:00,2,0,122,"2,67",4194304,335125,"7,99",0,15,54,12,40,2
04.01.2016 07:20:00,2,0,124,"2,72",4194304,494508,"11,79",0,12,54,6,8,2
04.01.2016 07:25:00,2,0,156,"3,41",4194304,813276,"19,39",0,15,54,32,61,2
04.01.2016 07:30:00,2,0,145,"3,17",4194304,1006214,"23,99",0,14,54,11,17,2
04.01.2016 07:35:00,2,0,130,"2,85",4194304,863607,"20,59",0,14,54,18,44,2
04.01.2016 07:40:00,2,0,125,"2,73",4194304,788110,"18,79",0,13,54,7,8,2
04.01.2016 07:45:00,2,0,123,"2,7",4194304,466407,"11,12",0,14,54,11,36,2
04.01.2016 07:50:00,2,0,124,"2,71",4194304,474795,"11,32",0,13,54,1,1,2
04.01.2016 07:55:00,2,0,115,"2,51",4194304,460954,"10,99",9,18,54,1,1,2
04.01.2016 08:00:00,2,0,118,"2,59",4194304,211812,"5,05",0,12,54,1,1,2
04.01.2016 08:05:00,2,0,123,"2,68",4194304,458018,"10,92",0,15,54,18,18,2
04.01.2016 08:10:00,2,0,114,"2,49",4194304,164417,"3,92",0,13,54,1,1,2
04.01.2016 08:15:00,2,0,122,"2,67",4194304,211812,"5,05",0,13,54,11,35,2
04.01.2016 08:20:00,2,0,115,"2,52",4194304,178258,"4,25",0,13,54,1,1,2
04.01.2016 08:25:00,2,0,115,"2,51",4194304,97308,"2,32",0,15,54,1,1,2
04.01.2016 08:30:00,2,0,117,"2,55",4194304,119538,"2,85",0,13,54,1,1,2
04.01.2016 08:35:00,2,0,126,"2,75",4194304,360291,"8,59",0,13,54,11,36,2
04.01.2016 08:40:00,2,0,116,"2,53",4194304,320864,"7,65",0,13,54,1,1,2
04.01.2016 08:45:00,2,0,120,"2,63",4194304,117021,"2,79",0,14,54,1,1,2
04.01.2016 08:50:00,2,0,123,"2,69",4194304,178258,"4,25",0,12,54,1,1,2
04.01.2016 08:55:00,2,0,136,"2,98",4194304,776785,"18,52",0,17,54,11,19,2
04.01.2016 09:00:00,2,0,116,"2,54",4194304,497025,"11,85",0,13,54,1,1,2
04.01.2016 09:05:00,2,0,147,"3,21",4194304,541904,"12,92",0,15,54,65,77,2
04.01.2016 09:10:00,2,0,123,"2,69",4194304,637115,"15,19",0,14,54,4,4,2
04.01.2016 09:15:00,2,0,139,"3,04",4194304,348966,"8,32",0,14,54,19,16,2
04.01.2016 09:20:00,2,0,115,"2,51",4194304,419011,"9,99",0,11,54,1,1,2
04.01.2016 09:25:00,2,0,131,"2,86",4194304,438305,"10,45",0,15,54,20,47,2
04.01.2016 09:30:00,2,0,115,"2,51",4194304,360291,"8,59",0,13,54,1,1,2
04.01.2016 09:35:00,2,0,122,"2,68",4194304,293182,"6,99",0,12,54,11,36,2
04.01.2016 09:40:00,2,0,116,"2,54",4194304,276405,"6,59",0,13,54,1,1,2
04.01.2016 09:45:00,2,0,125,"2,73",4194304,293182,"6,99",0,15,54,48,24,2
04.01.2016 09:50:00,2,0,128,"2,79",4194304,390909,"9,32",0,12,54,32,8,2
04.01.2016 09:55:00,2,0,115,"2,51",4194304,586783,"13,99",0,15,54,3,1,2
04.01.2016 10:00:00,2,0,117,"2,57",4194304,295698,"7,05",0,13,54,1,5,2
04.01.2016 10:05:00,2,0,160,"3,49",4194304,656409,"15,65",0,15,54,22,29,2
04.01.2016 10:10:00,2,0,131,"2,87",4194304,880384,"20,99",0,14,54,10,13,2
04.01.2016 10:15:00,2,0,118,"2,57",4194304,444177,"10,59",0,15,54,1,1,2
04.01.2016 10:20:00,2,0,133,"2,91",4194304,502897,"11,99",0,13,54,10,13,2
04.01.2016 10:25:00,2,0,118,"2,58",4194304,410622,"9,79",0,15,54,1,9,2
04.01.2016 10:30:00,2,0,119,"2,61",4194304,181194,"4,32",0,13,54,1,2,2
04.01.2016 10:35:00,2,0,118,"2,58",4194304,153092,"3,65",0,13,54,1,1,2
04.01.2016 10:40:00,2,0,117,"2,55",4194304,231526,"5,52",0,14,54,1,1,2
04.01.2016 10:45:00,2,0,117,"2,56",4194304,142187,"3,39",0,14,54,1,1,2
04.01.2016 10:50:00,2,0,123,"2,69",4194304,206360,"4,92",0,12,54,1,1,2
04.01.2016 10:55:00,2,0,136,"2,98",4194304,609013,"14,52",0,15,54,16,43,2
04.01.2016 11:00:00,2,0,119,"2,59",4194304,525127,"12,52",0,13,54,1,1,2
04.01.2016 11:05:00,2,0,124,"2,7",4194304,416075,"9,92",0,13,54,11,40,2
04.01.2016 11:10:00,2,0,122,"2,67",4194304,323800,"7,72",0,14,54,6,10,2
04.01.2016 11:15:00,2,0,162,"3,54",4194304,656409,"15,65",0,17,54,85,90,2
04.01.2016 11:20:00,2,0,146,"3,18",4194304,1017119,"24,25",0,12,54,15,26,2
04.01.2016 11:25:00,2,0,114,"2,48",4194304,757072,"18,05",0,14,54,1,1,2
04.01.2016 11:30:00,2,0,116,"2,53",4194304,268016,"6,39",0,12,54,1,1,2
04.01.2016 11:35:00,2,0,126,"2,75",4194304,284793,"6,79",0,14,54,9,7,2
04.01.2016 11:40:00,2,0,115,"2,52",4194304,203424,"4,85",0,14,54,1,1,2
04.01.2016 11:45:00,2,0,124,"2,7",4194304,253755,"6,05",0,13,54,11,36,2
04.01.2016 11:50:00,2,0,126,"2,74",4194304,293182,"6,99",0,13,54,1,1,2
04.01.2016 11:55:00,2,0,115,"2,53",4194304,522191,"12,45",0,14,54,1,2,2
04.01.2016 12:00:00,2,0,116,"2,53",4194304,197971,"4,72",0,12,54,1,1,2
04.01.2016 12:05:00,2,0,125,"2,73",4194304,253755,"6,05",0,14,54,17,44,2
04.01.2016 12:10:00,2,0,114,"2,5",4194304,368679,"8,79",0,13,54,2,1,2
04.01.2016 12:15:00,2,0,118,"2,58",4194304,181194,"4,32",0,14,54,1,1,2
04.01.2016 12:20:00,2,0,166,"3,63",4194304,634179,"15,12",0,13,54,79,85,2
04.01.2016 12:25:00,2,0,131,"2,87",4194304,880384,"20,99",0,14,54,13,39,2
04.01.2016 12:30:00,2,0,121,"2,64",4194304,695835,"16,59",0,13,54,3,3,2
04.01.2016 12:35:00,2,0,125,"2,73",4194304,435788,"10,39",0,13,54,11,35,2
04.01.2016 12:40:00,2,0,129,"2,82",4194304,301570,"7,19",0,13,54,10,11,2
04.01.2016 12:45:00,2,0,142,"3,09",4194304,712612,"16,99",0,17,54,44,18,2
04.01.2016 12:50:00,2,0,165,"3,59",4194304,1022991,"24,39",0,14,54,54,19,2
04.01.2016 12:55:00,2,0,139,"3,04",4194304,1157208,"27,59",0,17,54,49,49,2
04.01.2016 13:00:00,2,0,168,"3,66",4194304,964270,"22,99",0,17,54,25,18,2
04.01.2016 13:05:00,2,0,185,"4,04",4194304,981048,"23,39",0,24,54,33,38,2
04.01.2016 13:10:00,2,0,184,"4,01",4194304,1075839,"25,65",0,26,54,56,37,2
04.01.2016 13:15:00,2,0,133,"2,92",4194304,933233,"22,25",0,15,54,22,45,2
04.01.2016 13:20:00,2,0,116,"2,54",4194304,634179,"15,12",0,12,54,1,1,2
04.01.2016 13:25:00,2,0,121,"2,65",4194304,262144,"6,25",0,14,54,11,35,2
04.01.2016 13:30:00,2,0,115,"2,51",4194304,295698,"7,05",0,12,54,1,1,2
04.01.2016 13:35:00,2,0,122,"2,67",4194304,290246,"6,92",0,12,54,11,38,2
04.01.2016 13:40:00,2,0,115,"2,52",4194304,220201,"5,25",0,12,54,1,2,2
04.01.2016 13:45:00,2,0,116,"2,53",4194304,139251,"3,32",0,13,54,1,1,2
04.01.2016 13:50:00,2,0,124,"2,72",4194304,178258,"4,25",0,12,54,1,1,2
04.01.2016 13:55:00,2,0,121,"2,64",4194304,519674,"12,39",0,14,54,11,35,2
04.01.2016 14:00:00,2,0,117,"2,56",4194304,270533,"6,45",0,12,54,1,1,2
04.01.2016 14:05:00,2,0,115,"2,51",4194304,147640,"3,52",0,14,54,1,1,2
04.01.2016 14:10:00,2,0,114,"2,5",4194304,206360,"4,92",0,13,54,1,1,2
04.01.2016 14:15:00,2,0,116,"2,53",4194304,192519,"4,59",0,14,54,1,5,2
04.01.2016 14:20:00,2,0,114,"2,5",4194304,158964,"3,79",0,11,54,1,5,2
04.01.2016 14:25:00,2,0,126,"2,76",4194304,281857,"6,72",0,14,54,15,44,2
04.01.2016 14:30:00,2,0,156,"3,4",4194304,969723,"23,12",0,15,54,19,25,2
04.01.2016 14:35:00,2,0,116,"2,54",4194304,528063,"12,59",0,13,54,1,1,2
04.01.2016 14:40:00,2,0,116,"2,54",4194304,186647,"4,45",0,13,54,1,1,2
04.01.2016 14:45:00,2,0,116,"2,53",4194304,144703,"3,45",0,13,54,1,1,2
04.01.2016 14:50:00,2,0,124,"2,71",4194304,130862,"3,12",0,12,54,1,1,2
04.01.2016 14:55:00,2,0,115,"2,52",4194304,502897,"11,99",0,15,54,1,1,2
04.01.2016 15:00:00,2,0,116,"2,54",4194304,200907,"4,79",0,13,54,1,1,2
04.01.2016 15:05:00,2,0,123,"2,67",4194304,346030,"8,25",0,14,54,11,36,2
04.01.2016 15:10:00,2,0,114,"2,49",4194304,301570,"7,19",0,13,54,1,1,2
04.01.2016 15:15:00,2,0,121,"2,65",4194304,284793,"6,79",0,14,54,11,36,2
04.01.2016 15:20:00,2,0,115,"2,51",4194304,251239,"5,99",0,11,54,1,1,2
04.01.2016 15:25:00,2,0,123,"2,69",4194304,248303,"5,92",0,16,54,11,36,2
04.01.2016 15:30:00,2,0,117,"2,55",4194304,385457,"9,19",0,13,54,1,1,2
04.01.2016 15:35:00,2,0,115,"2,51",4194304,133798,"3,19",0,12,54,1,1,2
04.01.2016 15:40:00,2,0,117,"2,56",4194304,133798,"3,19",0,13,54,1,1,2
04.01.2016 15:45:00,2,0,117,"2,55",4194304,85983,"2,05",0,15,54,1,1,2
04.01.2016 15:50:00,2,0,124,"2,71",4194304,161481,"3,85",0,12,54,1,1,2
04.01.2016 15:55:00,2,0,120,"2,62",4194304,625790,"14,92",0,15,54,11,35,2
04.01.2016 16:00:00,2,0,115,"2,52",4194304,323800,"7,72",0,14,54,1,1,2
04.01.2016 16:05:00,2,0,117,"2,56",4194304,161481,"3,85",0,13,54,24,15,2
04.01.2016 16:10:00,2,0,118,"2,59",4194304,200907,"4,79",0,14,54,32,13,2
04.01.2016 16:15:00,2,0,125,"2,74",4194304,290246,"6,92",0,15,54,11,36,2
04.01.2016 16:20:00,2,0,115,"2,51",4194304,290246,"6,92",0,12,54,1,1,2
04.01.2016 16:25:00,2,0,117,"2,56",4194304,133798,"3,19",0,14,54,1,1,2
04.01.2016 16:30:00,2,0,115,"2,51",4194304,94372,"2,25",0,13,54,1,1,2
04.01.2016 16:35:00,2,0,121,"2,65",4194304,281857,"6,72",0,13,54,11,36,2
04.01.2016 16:40:00,2,0,123,"2,69",4194304,340577,"8,12",0,15,54,6,12,2
